city,market_type,total_listings,average_price,median_price,percentile_75_price,percentile_95_price
warszawa,Sale,24248,1015006,879000,1182000,1950000
warszawa,Rent,14785,4975,4000,5700,11000
krakow,Sale,10600,889213,778000,990000,1650000
wroclaw,Sale,7384,721990,675000,809000,1200000
krakow,Rent,7366,3276,2999,3600,5900
gdansk,Sale,6255,834727,730000,975000,1564000
lodz,Sale,5312,434403,395000,519000,760000
wroclaw,Rent,3699,3213,2900,3500,5950
poznan,Sale,2718,637490,599000,730000,1063000
bydgoszcz,Sale,2676,413704,376000,499000,730000
lodz,Rent,2647,2119,2000,2500,3400
gdynia,Sale,2623,841578,690000,950000,1850000
poznan,Rent,2217,2549,2400,2850,4290
szczecin,Sale,1951,556094,525000,650000,890000
gdansk,Rent,1930,3161,2900,3500,5200