city,total_listings,median_price,percentile_75_price,percentile_95_price
warszawa,24248,879000,1182000,1950000
krakow,10600,778000,990000,1650000
wroclaw,7384,675000,809000,1200000
gdansk,6255,730000,975000,1564000
lodz,5312,395000,519000,760000
poznan,2718,599000,730000,1063000
bydgoszcz,2676,376000,499000,730000
gdynia,2623,690000,950000,1850000
szczecin,1951,525000,650000,890000
katowice,1886,467780,620000,900000
lublin,1640,539000,645000,869000
czestochowa,1017,320000,395000,599600
bialystok,733,460000,565200,730000
radom,658,340000,415000,617500
rzeszow,573,550000,649000,890000